Region,Year,Registered_Voters,Turnout_Percent,Actual_Voters
XII-SOCCSKSARGEN ,2013,1985062.0,75.63,1501294.0
XII-SOCCSKSARGEN ,2016,2086112.0,80.01,1669116.0
XII-SOCCSKSARGEN ,2019,2431265.0,74.99,1823176.0
XII-SOCCSKSARGEN ,2022,2606492.0,80.66,2102493.0
XII-SOCCSKSARGEN ,2025,2656944.0,81.46,2164375.0
XIII-Caraga,2007,1238303.0,78.53,972495.0
XIII-Caraga,2010,1383595.0,79.34,1097718.0
XIII-Caraga,2013,1445729.0,82.73,1196095.0
XIII-Caraga,2016,1547093.0,85.24,1318722.0
XIII-Caraga,2019,1760582.0,80.67,1420304.0
XIII-Caraga,2022,1868798.0,85.33,1594734.0
XIII-Caraga,2025,1478838.0,83.52,1235054.0
